,LOC_id,ISOALPHA,COUNTRYNM,NAME1,Confirmed,Deaths,Recovered,Latitude,Longitude,population,land,risk_Permillion,Max Temp (F),Humidity (%),Cloudiness (%),Wind Speed (m/s),temp_gp,Wind Speed (mph),Log Case,Trans Case,density,density_gp
84,86,CYP,Cyprus,,26,0,0,35.1264,33.4299,1218242.0,9274.198744,21.34,48.99,75,40,6.93,M Temp,15.5019942,4.705977901682522,4.422233000683048,11298218426.288048,L Density
85,87,CZE,Czech Republic,,253,0,0,49.8175,15.472999999999999,10573280.0,78145.39372000001,23.93,42.01,94,40,4.7,L Temp,10.513618000000001,7.983563697223322,4.5867647433551415,826253128511.8016,M Density
86,79,COD,Democratic Republic of the Congo,,3,0,0,-4.0383,21.7587,90169369.0,2303597.8140000002,0.03,70.25,96,100,3.38,M Temp,7.5608572,1.632268215499513,-2.9434164716336326,207713961318159.38,H Density
87,88,DNK,Denmark,,864,2,1,56.2639,9.5018,5775666.0,42644.48353,149.59,48.99,93,100,21.92,M Temp,49.03372480000001,9.755054471093796,7.225834035537838,246300293611.78098,M Density
88,90,DOM,Dominican Republic,,11,0,0,18.7357,-70.1627,11106603.0,47929.004310000004,0.99,73.99,94,20,5.82,H Temp,13.018990800000001,3.4724877714627436,0.12432813500220177,532328423056.459,M Density
89,91,ECU,Ecuador,,28,2,0,-1.8312,-78.1834,17338405.0,255640.6054,1.61,64.13,96,100,2.33,M Temp,5.2120702,4.812498225333564,0.7739963251111733,4432400350870.387,M Density
90,92,EGY,Egypt,,110,2,21,26.8206,30.8025,100517804.0,994457.1032,1.09,52.25,63,0,13.35,M Temp,29.863149,6.782670658677007,0.250961573533219,99960644185865.38,H Density
91,93,GNQ,Equatorial Guinea,,1,0,0,1.5,10.0,970827.0,27091.50786,1.03,73.31,95,100,2.01,H Temp,4.4962494,0.13750352374993502,0.17632277264046317,26301167301.200222,L Density
92,94,EST,Estonia,,171,0,1,58.5953,25.0136,1295114.0,43138.71041,132.03,41.0,95,100,1.99,L Temp,4.451510600000001,7.418695949602051,7.045814256188498,55869547793.93674,L Density
93,96,ETH,Ethiopia,,1,0,0,9.145,40.4897,111971077.0,1131068.274,0.01,74.57,53,44,14.0,H Temp,31.31716,0.13750352374993502,-3.1844245711374275,126646932800311.1,H Density
