Province_State,Country_Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude,LOC_id
,Cote d'Ivoire,2020-03-12T01:18:01,1,0,0,7.54,-5.5471,205
Wyoming,US,2020-03-12T03:13:09,1,0,0,42.756,-107.3025,206
,Guyana,2020-03-12T05:53:03,1,1,0,5,-58.75,207
Mississippi,US,2020-03-12T09:33:03,1,0,0,32.7416,-89.6787,208
North Dakota,US,2020-03-12T09:33:03,1,0,0,47.5289,-99.784,209
,Andorra,2020-03-12T23:44:32,1,0,1,42.5063,1.5218,210
From Diamond Princess,Australia,2020-02-29T02:03:10,0,0,0,35.4437,139.638,211
Alaska,US,2020-03-10T02:33:04,0,0,0,61.3707,-152.4044,212
Idaho,US,2020-03-10T02:33:04,0,0,0,44.2405,-114.4788,213
Maine,US,2020-03-10T02:33:04,0,0,0,44.6939,-69.3819,214
West Virginia,US,2020-03-10T02:33:04,0,0,0,38.4912,-80.9545,215
Gansu,Mainland China,2020-03-11T02:18:28,0,0,0,36.0611,103.8343,216
Hebei,Mainland China,2020-03-11T02:18:29,0,0,0,38.0428,114.5149,217
,occupied Palestinian territory,2020-03-11T20:53:02,0,0,0,31.9522,35.2332,218
